lon	lat	title	description	icon	iconOffset
-10151502.6642	2122555.16099	A Chijuajal Chico	Mller, F. 1960, Atlas arqueologico de la Republica Mexicana. 2, Campeche. Instituto Nacional de Antropologia e Historia, Mexico.	marker.png	-10,-24
-10160195.6032	2117000.96258	A Chivajal Grande	Mller, F. 1960, Atlas arqueologico de la Republica Mexicana. 2, Campeche. Instituto Nacional de Antropologia e Historia, Mexico.	marker.png	-10,-24
-10155848.5771	2127869.88805	A Lagartero	Mller, F. 1960, Atlas arqueologico de la Republica Mexicana. 2, Campeche. Instituto Nacional de Antropologia e Historia, Mexico.	marker.png	-10,-24
-10092493.3153	2017459.94059	A. Barillo	Mller, F. 1960, Atlas arqueologico de la Republica Mexicana. 2, Campeche. Instituto Nacional de Antropologia e Historia, Mexico.	marker.png	-10,-24
-10206555.7183	2040199.85772	A. Chumpaito	Mller, F. 1960, Atlas arqueologico de la Republica Mexicana. 2, Campeche. Instituto Nacional de Antropologia e Historia, Mexico.	marker.png	-10,-24
-10243622.8824	2083812.53686	A. del Palmar	Mller, F. 1960, Atlas arqueologico de la Republica Mexicana. 2, Campeche. Instituto Nacional de Antropologia e Historia, Mexico.	marker.png	-10,-24
-10199683.9662	2036184.97779	A. San Joaquin	Mller, F. 1960, Atlas arqueologico de la Republica Mexicana. 2, Campeche. Instituto Nacional de Antropologia e Historia, Mexico.	marker.png	-10,-24
-9957742.09811	2369855.99321	Acanceh	Garza T., S, & E. B. Kurjack B. 1980 Archaeological Atlas of Yucatan	marker.png	-10,-24
-10054977.5337	2261298.80575	Acanmul	Mayer, K. H., 2006, Mayaland Trip 2006, Maya Sites in Mexico Guatemala, and Honduras, GPS Geographical Coordinates, edited by W. R. T. Witschey.	marker.png	-10,-24
-10238870.6533	1614512.30148	Acapan	1991, Mapa Arqueolgico de la Repblica de Guatemala. Instituto Geographico Militar, Ministerio de la Defensa Naciona; Departamento de Monumentos Prehispanicos y Coloniales, Instituto de Antropologia e Historia de Guatemala, Guatemala C.A.	marker.png	-10,-24
-10135078.5865	1734991.24085	Acihtz or Asich	1991, Mapa Arqueolgico de la Repblica de Guatemala. Instituto Geographico Militar, Ministerio de la Defensa Naciona; Departamento de Monumentos Prehispanicos y Coloniales, Instituto de Antropologia e Historia de Guatemala, Guatemala C.A.	marker.png	-10,-24
-9922851.97079	1932808.18612	Actuncan	Webster, D., A. Freter and R. Storey, 2004, Dating Copan Culture History: Implications for the Terminal Classic and the Collapse. In The Terminal Classic in the Maya lowlands : collapse, transition, and transformation. , edited by A. A. Demarest, D. S. R	marker.png	-10,-24
-10054246.1646	1658663.67532	Agua Caliente	1991, Mapa Arqueolgico de la Repblica de Guatemala. Instituto Geographico Militar, Ministerio de la Defensa Naciona; Departamento de Monumentos Prehispanicos y Coloniales, Instituto de Antropologia e Historia de Guatemala, Guatemala C.A.	marker.png	-10,-24
-10236125.8082	2108057.21181	Aguacatal	Matheny, R. T., 1970, The ceramics of Aguacatal, Campeche, Mexico. Papers of the New World Archaeological Foundation. New World Archaeological Foundation, Brigham Young University, Provo, Utah,.	marker.png	-10,-24
-10254812.7176	2058162.86963	Aguacate	Mller, F. 1960, Atlas arqueologico de la Republica Mexicana. 2, Campeche. Instituto Nacional de Antropologia e Historia, Mexico.	marker.png	-10,-24
